SHA,disease,model,infection,transmission,animal,sum
01f0ffeafb753f0a54cde6d40252d74b7c64f6b9,3,5,2,0,3,10
3232cbe1cc788c20230a5ab4ef3f3fa98fbe22b2,2,5,2,0,1,9
ecbdaacec058ed09ad1fc9b930fdb70e77b62f19,2,5,1,0,3,8
160ecaaa5a766c289fc2f6b5499f0dfe7aab971c,1,5,1,2,0,7
3a3c6a9ff71461bd81862fc711d5605cfbbb975d,1,5,1,2,0,7
fcededebc295dbf0fa5130e94002b7fe0a921f51,1,5,1,3,0,7
5d04b1e66045a858dd72847b88dcc6a280da3165,1,5,3,0,0,9
d696b29f67616ddf49b71564181dccf4d1adba9c,1,5,10,0,0,16
44ef99ae7f76320a4bb1ee7d63e4d8d6690be610,10,4,1,1,0,15
58ef15f083c00ee3ae8e604a9c6e258576b7c7af,7,4,2,0,0,13
a56fc47514bbcbeeab571a5d5cf6ae87dcab2a1e,5,4,1,0,2,10
c937408769e2f3c0b69ce74cdf40822cbb2687c0,5,4,2,0,4,11
eabb427018b4decc5d1e04772814238be2a6d9d6,4,4,1,0,0,9
9ac6114492dec5eb4c4afe605b1a83c689df0dec,4,4,5,0,0,13
aeb22d6c797dde546dcbf6e9f4187038910a7093,4,4,1,0,4,9
2a5b3717fb5d479f06df08343c942f7c41821506,4,4,3,0,0,11
0a4f344f96d5a21e3d0f33e199983738c37a1631,3,4,1,2,0,8
695abb67710c45651031cfddd591559c1a771015,3,4,3,0,0,10
70bf84100e6157f3815acca7b5120131c0f8cf4e,2,4,6,0,4,12
bf3ec9cb72885b43173311a92e237c5417a53883,2,4,3,0,0,9
b59b58c13370a390a58c6cd79e61f97bf9bee37d,2,4,5,0,1,11
ee0050c6fb81a4067d134010d0c80d21edb5df0b,2,4,5,1,1,11
3c787e585321cc1d3d62aacb1c74713a4c77e9cc,2,4,6,0,4,12
c88b00bfd227472332501d9ff86a3c612af86f23,2,4,1,0,0,7
09e709e36923b9b784d84db97eac152bc53d10a5,2,4,3,0,1,9
672ca9b6e50e26c49fc7be2ef3b4f685badf9db1,1,4,1,0,0,6
103c89c60d7d24bb8432c4b7a61379f9e44fe6ea,1,4,2,1,0,7
10f4664e4d1e58018892a7a2ab1eae868d59f2f3,1,4,1,0,0,6
703481e322f6c0cc6ee0808b0ed750bb769bf029,1,4,1,0,0,6
ed41111b7ec211ae5ad254835306b8a92567411d,1,4,1,0,0,6
d1d69a1aef82dd303642c4f4ff167333fc533feb,1,4,3,0,0,8
1e160a0e9789ea3d32f5bd067514b91c66890fec,1,4,1,0,0,6
2035dd877a32b88870c389080a71eb7ff14a5970,1,4,2,0,0,7
375a09a146ba949025dedfc33fb7adb5a6f10a0c,12,3,5,1,0,20
19ddf65d65d5e172ac3ceda4662b68769633dbe6,7,3,1,0,0,11
20738b294973fa633e5c597a5f8ae426ca673ab9,6,3,2,0,0,11
e835b6338e31398a5abaca8548b69da8e19b61d5,5,3,1,0,0,9
d5f7332f6dba1d990d54b5887a175e530d144130,4,3,1,1,0,8
a4e41dcddb7c0eb538defbf19602371176f1f97c,4,3,2,3,0,9
624840869f8c5f365a639a67cae53f56c740749f,4,3,1,1,0,8
f297ff6ac7a5dfde238e171ef3fff9a2c6e7877f,4,3,7,1,0,14
fc44cb8d99bd942116d034281850d1b8b45766be,4,3,2,2,0,9
4b92357afea168410a305eca0e593b7955f08598,3,3,3,1,0,9
f4c43e4ae49ca69dbac32620bd0a73ecbb683b91,3,3,1,0,2,7
de64983bd4eb6f372ec3d1ac74511ee433632e20,3,3,2,0,0,8
c299613a3fbcfb394f5c77261fb76fd8cb3161f2,3,3,1,0,0,7
9c723b7712559a3bb928f6d72bec1e7f147f3320,3,3,2,0,0,8
9cda860c97d430aea207a063d13e8612e023320c,3,3,1,0,3,7
9ce462cb0807906c475d4b600afac950c7e8c4e8,2,3,5,0,0,10
ead6fda7cdb2bb2469ff48365833bd63d0b7dd1a,2,3,3,1,0,8
f13c88733ea45be9e923a282dfd42f8c277c187c,2,3,2,0,0,7
765e023ee18436394fa56d1b2a388422e6201804,2,3,4,0,0,9
eb25ca46c7e411e952c63ded8455c9df1006bbd4,2,3,1,0,0,6
c7110b5717964ef50369ea682962cfcf68d450a2,2,3,2,0,0,7
a396657b0c580d496e109b82967c1a89d191ee9b,2,3,2,1,0,7
560c831e215a39066388a9b94b7a576407d2d3f6,2,3,2,1,0,7
c12ad8b411c24fe215be91d1f990645743e55ab5,1,3,2,0,0,6
71a82ecd1070ef91422c1ed772c73ad189ea4c0e,1,3,1,0,3,5
39f33cf580fe6ce842e2c9005570d08115c3ed4b,1,3,4,0,1,8
55b2f19377928da52d9826a5de0714e5c75ebd02,1,3,2,0,0,6
ccaafc13b2c1551dce74e1a7fe3e43cea5228732,1,3,4,0,0,8
815b5e537a3e7bdb7d5c7c7cd51181b9b2e245c5,1,3,3,0,3,7
5f96f9d0f4775e4803ec0d9c0b3c181a40ea27ce,1,3,2,0,0,6
05192151667b1bb4e3405de11f6e4ae2f844e7c5,1,3,2,0,3,6
60cd8a2169f79423f22c91678fc76cf5bb216ef5,1,3,3,0,1,7
5341fd2caa821b2616a8bc85763a608b29cb4947,1,3,1,0,2,5
38709b5c18e24c3287a6b1b97ddbe8899cdab432,1,3,1,1,0,5
1dc4f757f425b080168840089f1f4d29bac75f51,1,3,2,1,0,6
75fef1b487aa86d9904a1860ff8a0bc953a2856c,1,3,4,1,0,8
db30c72b055266cbd06bb14d7f570f91d8e84e6e,1,3,6,0,1,10
129341a52b43ccd59368d094950322d983ebe223,1,3,1,0,1,5
469ed0f00c09e2637351c9735c306f27acf3aace,1,3,2,0,0,6
0ae02f293c03e3e1a2d4582e62c22f2c0c291f48,1,3,2,0,4,6
9753bb382a8c82a2855c8b63e70d44494ebf33fd,1,3,2,0,0,6
340685864702f3f7347f649d8d48c2070cbe9cf1,1,3,3,0,0,7
c24147d477e3b1e01c3567a3f983a178a224f4a3,1,3,1,0,1,5
29e61d2288dcd264a7bbca9fdd23f6ed4f09cbc1,1,3,3,0,2,7
deac84b7c01838a4e6f5cd1975e4a0b2a431894a,1,3,1,0,0,5
952f14afe7014888fda5c14c2c0c654356c6c09e,1,3,7,2,0,11
a0016598cd0ea40803d8ab461f4ebdba9abe94c1,9,2,1,0,0,12
0234207cba8165f1e1852b92ae0fa0d9e2f870fb,9,2,2,0,0,13
64bfeb561f0664d74a04ee30a24a48159261d4fd,8,2,1,0,0,11
fe33ff01234dd6a16c30bf14916d1b32c4a940fd,7,2,1,0,2,10
89d144081894a40f61f156c794e0ec60b3d2e876,7,2,2,0,0,11
d3024ede652b4e952b779658f83f664290d5844e,6,2,1,0,0,9
4be32977ea29039cf2fac3b4327ceea8f14d0af4,5,2,3,0,1,10
96bbfb4e9db97a3c63b247ef0898122f10d099dc,5,2,2,0,0,9
f87a35420ee8d9c9c19c5279d4b803130eadc6fe,5,2,3,0,0,10
ff840f3af0e534abaab3e1c77af1f009c78ac00c,5,2,5,1,2,12
0b282573f5c63c943021c10ca39a1ed21acfb429,4,2,1,0,0,7
74813899dfd7ad7de15228fd014c735c3410d9d9,4,2,1,0,2,7
948028bf6ac0f66ea490a476c599db04fb42a50f,4,2,9,0,0,15
68ac410cd36c5699f58d2b76b0eeb84956573f77,4,2,7,0,0,13
2b6ea0603deab65ea1e0ddf4367985f6061bac9b,4,2,1,1,0,7
90394841ad2cbaec78bf51646d5ca1ae26fadba6,4,2,2,1,0,8
cc1473a772ad2b656313caf604e9e2db41c4a90a,4,2,1,3,0,7
1fe201bcf1ed66856f693846cb0d07ce48051ec1,4,2,1,0,0,7
aa723d3ccef890609d9c3bf97587b1edda96a5a9,4,2,4,0,1,10
f0ea24dbad758b4ef547b8e2c54bd4bb721caf01,4,2,2,0,0,8
c513fb0abb1aa50c3323e4f6d311248701f0280b,3,2,2,0,0,7
7f67490473a643ff59b8ad115149846bc36825ca,3,2,6,0,0,11
f37275235174f60a5028e7d86859fecd6550f737,3,2,3,0,0,8
6af02873a430f5f75dc56a917f26feaea89b8e79,3,2,2,0,0,7
edea2cda674c33bb251b64e5416f5380f13d5489,3,2,1,0,1,6
129a9a36f9814b22fd37bfe550c6c746df954e96,3,2,1,0,3,6
b71e4eac6dc2570625a3bd6425a059baa8c5130c,3,2,2,0,0,7
3899c3b15d80afef1944752dafbebaa99ee43187,3,2,3,0,1,8
fc9d6076a668578fb0e4e0b548a8036664631379,3,2,3,0,3,8
608eda2b07953fa00b686408c164d3e1322d4f14,3,2,1,6,4,6
c95aea18951cb2b0ba90fe898b92b09ac419c5b9,3,2,3,0,0,8
1dfcd4615a8763e053bd2fdb845f09fab68109f1,2,2,2,0,0,6
3c20c596797997337c0e8ed472cf7847dc467c65,2,2,1,3,0,5
5d2c1aaad487ae9b76099721947c8948a57ebba3,2,2,1,1,1,5
ee632fa425607e8ff91fc3730bc0782d43ce9c0c,2,2,4,0,0,8
49a40a6447a61f2a4a725095b19ac648419c09f7,2,2,1,0,0,5
b3fe63ea9f4794d58f37083f3430c6e5238449c3,2,2,1,0,0,5
473207b36a728a21e7545bcde584d8618f714552,2,2,4,0,0,8
555a36d1c3822baa8b6a2612b86ed5df5b1dbf7c,2,2,8,0,1,12
376ac2d5c7446918fdc12ef89696687b8a2b23d8,2,2,3,0,0,7
68139e318bd8880a6b11f4dee8779ff0bd3a83a4,2,2,3,0,2,7
d2c72e2daceccd9b61cb182d778661e29256527b,2,2,3,0,4,7
ac7d8fb495888876f03df56a1d3a3faa1f05e770,2,2,2,0,0,6
6825e9b1b3377b18ec3725a954b15d2760603a28,2,2,6,0,1,10
51f9ab9c7010dae7a662a33f0fd32e91a2001523,2,2,1,1,0,5
fb9e05516efdae3600796552393fd3e3c26cb3d5,2,2,4,0,0,8
079acffe640a3b6e61246bb6873baa4e1227417b,2,2,1,0,1,5
afc1d001d3a53966f37467dcc2d61ed28c2fdd01,2,2,1,0,0,5
a1c87584d25ea40e6845a0007fe09509bd111db0,2,2,1,0,0,5
64872af73c55b4911ad9cf224868ac9db9519382,2,2,4,0,0,8
83da89e0732df8a728760bccb91c894ef2457563,2,2,2,2,0,6
9b0847f36fc3f50d01319d356766aa9a53e479a5,2,2,1,0,0,5
dd7a38f4c2022b075b14c620b930ca4706c24bb6,2,2,1,0,1,5
0cd389be1501d7f0943e5078cf951249c95de0f5,2,2,3,0,0,7
2eaa2a813ac6ff1fc901cf8eadc3b44e13d71d6a,2,2,3,0,2,7
045e3571c820280e2d7b89537c1cd78ece60ab7b,2,2,5,1,1,9
ea3e8331b58283dc41601f6ce571a5066ab7f897,2,2,1,0,1,5
ec14f3a9dcb7254a6111420df8dec60d6a503104,2,2,1,0,1,5
20c07c7643df372f94eddb5df00d4d653cc421c3,2,2,2,0,1,6
3369a14e1d116943f48b3a33597796c9802de279,2,2,2,2,4,6
72bf8d8fff5a84e84e219df26f0d4cbdfa0bb15c,2,2,2,0,0,6
6a14ff1798aa6ca90d45bab127740593ab37fac3,2,2,1,0,0,5
f523909ff52d8a6b9e7ddeb44c7d10ff9adf366c,2,2,2,2,4,6
95932152552726907534123bae9e9c61eec15d02,2,2,1,0,0,5
ac3e33b6ed12e43208d76bf455f3b81067e6ac6d,1,2,1,1,0,4
06a1002f9fbea7179ac3572843f66b14568af6e4,1,2,1,0,0,4
d49f8ba7212183bc1b7f2cb6dd709dd197303b3d,1,2,5,0,0,8
32c2e402c3c88c3024a4dec3d78ba67c24f89ca6,1,2,2,0,0,5
c08c3b98a956287a6eaf99f6d90969d7dd1410d1,1,2,4,1,2,7
9e7bb369224888a04493301fe9b7e1d4e31531c1,1,2,1,5,0,4
a4860aeadf8a51f4702262a58b808ea851eb4c27,1,2,1,3,0,4
79a70e09a449e41078a23b502c9a645a1e177eca,1,2,2,2,0,5
3fa2c03259615e7a062deaac928c626c0a1bfbf7,1,2,2,0,0,5
4cd3f43501d49e775838473a3edafb55e57d08df,1,2,4,0,0,7
d06b1f07cc3e2f1ac0dbcd16995fc351a1bafe91,1,2,1,3,0,4
fc3262c27f701261cfc1b27bc0495f6bd8b3e3fd,1,2,1,0,0,4
62dd39338a12f7b81ae4e79e030c238c9ddaedfe,1,2,3,1,2,6
85657444327cc8301d257fbda39df1a02e9d1d40,1,2,1,0,2,4
28d59a7490b8337301262db257c5cfe98ddede06,1,2,6,0,1,9
ee2fc6a943eac54444f75f0fbaf099178e36a11d,1,2,1,0,0,4
303dd57924047b30670081699eb8c991bf0f41b5,1,2,2,1,0,5
b0a17b1f4447f0a81d2e93f2e23720feadee96cd,1,2,1,0,0,4
deaac80fa1b6ee6b493932b297496c8751c9ef1b,1,2,1,0,2,4
874e540a730ee1060365af8d2caa03f537508e33,1,2,2,0,1,5
509e9bda6a2f6b5525ba06641f8af156653a2aab,1,2,7,0,0,10
611159c87e69ac113f1652442897b3cf96878939,1,2,3,0,0,6
6e0759e9f0c620a14bac6b9939d66bf18847de9c,1,2,8,0,0,11
a62150169f3f45fa30e13124ba0ff6c1945f5c0e,1,2,5,0,0,8
6acfca277c3e484c1dead20fc58db53b179c33ab,1,2,1,0,0,4
68ca53b6414e682661c4decd41eb9ff00574d862,1,2,5,4,0,8
b2ffe7f0bedb7b3ab6d0181ec70ece3e4e2dabea,1,2,1,0,2,4
c16d19032f42486b997727ee0f732ab9fd5b9a84,1,2,5,0,3,8
9c35a7f4d301162bfc79c1d7174a234ab94c2c46,1,2,1,0,2,4
0666ca679df1885492aa1420fd995790d363b8a5,1,2,3,2,1,6
e2fbe8d2a00bf0e7041a1b7c9e08c80ef87cb5cb,1,2,1,0,1,4
9b7a0ad7b6c7f59e7a6cf1dc9d07912a273d19b5,1,2,2,2,0,5
ceba28d8304f3df8001164f8edeef545154289f6,1,2,1,0,0,4
b16e9ad986a7b19e35e008a79293bba8fb2c6787,1,2,2,0,0,5
e608f2a6b99e0e74c16aa9085128690e20b59ea0,1,2,3,0,0,6
00cf719db65d07c0c7bdea9defaea448fc5f5786,1,2,4,0,0,7
925127e986923fcea390cd441b4a9a4df9c1b007,1,2,1,1,0,4
6aa71c592c9d4b88f0289992efbf5ce7f34bb335,1,2,3,0,0,6
9afe908babd48784b72535b7d9b3d964d1cc6b14,1,2,3,0,0,6
499d6cb1459c949ad947239990333028a0cd5c6c,1,2,2,0,1,5
0aa9c6e5d23acccfae9077750071e2768bdeefe6,1,2,1,0,1,4
43758fa3b37840df736bcb6510d4be65364ae4e7,1,2,2,0,0,5
2ca704516c253ae250de0ed2598315aa1beceda8,1,2,5,0,3,8
74cc1a3efb04282e8e89616e58b7749183fc0146,1,2,1,0,0,4
20a38a054a302914d42eb2b228afb705702de803,1,2,2,0,1,5
6b237e0054b0120b98182f96deae4c4fdd3dbde4,1,2,6,0,0,9
110f20cdcecc8ba02f79f4b16cacefb9cc82709b,1,2,1,0,0,4
c82d1b207db5a5a4d15150de1fa30088a16cff25,1,2,2,0,1,5
537aa0a30e33e4a84bf6c6226e4f377b826c1b65,1,2,1,3,0,4
53a68654e90523df728c435be5fa1722a247fcd1,1,2,1,0,1,4
0fa28b3974da43feef2358d568ab59ae49ae1ecf,1,2,1,1,0,4
4b17934f88f73e2414aab28cd49dd50e67915d34,1,2,3,0,0,6
058d30ebfeaf47300e19f411ba6557a44ca4bdfa,1,2,2,0,2,5
c9e7f5a8995f8967153bfa9c2a37d99ecadd7a5d,1,2,2,0,1,5
151a04d55fe00b5c47927d142d442ebbb45ba7e5,1,2,5,0,0,8
b322c2b004bb384ff72b6da2ee511e6b13792bc7,1,2,1,2,0,4
39244c86324ed37f0b32222540efeefd2144d458,1,2,1,0,0,4
1e028783dd3a8a7dca6ee99c21277471571b4e1d,1,2,4,1,0,7
1ed4c31d7ee724f9937c3f91d2a91b01579a853c,9,1,1,1,0,11
dd215aa15c6f212275cacf2f9db5c2e8d4145217,9,1,1,0,0,11
df4824b457c47934bafd828367bb0377132a903c,8,1,1,0,0,10
2bb3b606e583496a278d710b37da6b0d781ea805,7,1,3,0,0,11
4e30ead25a8574d9013af8ea6f6d5a1be19e41b1,6,1,2,2,0,9
c381a318060a8b093ebc7911198e0b7c509bf580,6,1,1,1,0,8
232adb4422ce13d1ec09cde6ec7fc9c8d505ea5a,6,1,1,1,0,8
cc84045e71998d21b9fec20b2b58db343ecacb5d,6,1,1,0,1,8
54c1ec13d3697c96a018ad42935295c9d0aefa55,6,1,1,0,0,8
7e1d33cf80c62e4e7de67f8beb280c86266b887f,6,1,1,2,2,8
9b5f5119bbfbded3245acc37859cefde967458e7,5,1,1,0,0,7
a234c5ac982ffc63b7be9d7c1b3473f92849192e,5,1,8,0,0,14
ea007e00fc6123e617913bd68cd8b54c4f0b111a,5,1,4,0,1,10
2804ea9b709694627657763fd17564d0323a5dcf,5,1,2,0,0,8
d44571bd848bc813e4cdd2fe8c36b922433ec4da,5,1,6,0,1,12
67448222647675616fa788dcf9426cefa3fd9575,5,1,1,1,1,7
572e7221874d7e5d1c4ed293e60f021ba1d59367,5,1,2,2,0,8
dd9f6d51d902c4493f797715278469d4c19bf65d,5,1,3,0,1,9
50fa01990b8405f86066ae116511615d2ab3a01c,5,1,2,1,0,8
f633e4c9065ef9226de908514df6ea7d29abe7bf,5,1,2,0,0,8
4f462b846636ba6022852c5f97982f6e27e15d2f,5,1,2,0,0,8
b294375c51953d106bead1dd39809747c9f46466,5,1,3,0,0,9
ffbf8ea9948d73572fd052a74afa01b19e6758a3,4,1,2,0,0,7
0969d53ac7a447d43b431dbe9744e416de26df38,4,1,1,0,0,6
c5375b07f72048d739efc376420a5cb5374392d6,4,1,1,0,0,6
0899d745009fa75954f75b381c040aebd927832a,4,1,1,0,0,6
77c5a33cacec66e3eecf748902a04cd245df6e0f,4,1,4,0,1,9
6d5c9139359f0be11be696bec88268a4f1cf7131,4,1,2,0,0,7
0cafb384b401aeefaa3286bb0cf76309434e2288,4,1,1,0,1,6
d11a35914f31dab16b461c4dd6574c4716f8014c,4,1,1,0,0,6
3a8cc16472e824ab8c4fab89c720d202cc7e722b,4,1,4,0,0,9
5560c5577076d3180d78439586d9ebe75653b20f,4,1,1,0,2,6
e42e38806843cc44593445984f57fb81d46e0c41,4,1,3,2,0,8
85d7f47649ef43ff11b8d5196c98e4fdacd0f905,4,1,1,0,1,6
7c64459702f78aac9778ccc9c0d63a9bf6d1f26e,4,1,7,0,0,12
3941684dde530d6a7aa3d2c08e101dc663bd803a,4,1,4,0,0,9
8d4a2fb48616bae57771c62a5bcbaf86e08b8276,4,1,2,8,0,7
691da9d5576aa959e22114a1ebb35548efd276a0,3,1,1,4,0,5
d088899449bf633659a0c6018571d0f6f7d58ec0,3,1,6,0,0,10
5881e62ed1be0eec6603b49cf10c413d3c1e560f,3,1,5,0,0,9
d9006d571ae04afb914b4bdd5c32f2090d409b4c,3,1,1,0,0,5
af10fafcbc7f54b2c2cf780db5ccf5a2b4a1c985,3,1,4,0,2,8
b293146d54c66eef361bc16cc69f793f46f88f1b,3,1,1,2,0,5
cd1d0cb4b82d5479e2aa72ec3d3cde6aae4a4eaf,3,1,3,0,0,7
03b9acce84a4799d4be1152a36abfaf52fb3b523,3,1,1,0,0,5
3735055ce30bb1cb8aa6ef4fb1731dcc8219df35,3,1,3,0,0,7
5d62acbb74aea7559783bcf556ce7352b55ca03a,3,1,6,0,0,10
19717b7bfa9911835e3c0085633f6dec5453da9a,3,1,2,0,0,6
832fab67c299fb2682948d33858e58a5db71e6f8,3,1,1,0,2,5
1b21437159e00cfbc7a48cfb1cc4c27a818e2157,3,1,1,1,0,5
605669a3876e7ff3961f0cca4c58a7059144d0ba,3,1,3,3,0,7
3e01904917aea1c46193a3e98307e95be703c7c6,3,1,1,0,1,5
c1df508d29e27cafd7a54a39bc2e087caa3a6bc6,3,1,3,0,1,7
5016b361dce58077b3d647b0772425e079f98d8d,3,1,2,0,0,6
c74616a5ce5f794dde0644f4cb72bf8a196028a3,3,1,6,2,0,10
f9075b3b2fcb919dd92b981ac6161302c5f904cd,3,1,2,0,0,6
45dd7b43349a7cd110254e46282dd4968dcdffbe,3,1,3,0,0,7
c25e535e8cb1fa2ff9e24c6e582d261d09551632,3,1,1,0,0,5
9ea81809febb5da9242f91f23bc9e2fa4bfdeed6,3,1,1,0,2,5
37fe4be4d997e01fa069ab31bbe1a0090356500a,3,1,2,0,0,6
7bfcd661fcd1248cb3ecaeea416eee85a689bf32,3,1,2,0,0,6
83bee2f8fff1d0da5230174abcd935d8b1113665,3,1,1,1,0,5
aa8c9ce5d6162a02fc51e0d95b27e63a709ca140,3,1,10,0,2,14
2aac4f808ecf429a389fb473ebd06e44b152db6d,3,1,2,0,0,6
af9d045b63744eb78fa9b2c1ad2a27169d9e0f01,3,1,3,0,2,7
06cad91161f09a9f28a5f07ecbd84edf3e7a87df,3,1,5,3,0,9
cdbbfbfd09efb48fd6a88fc7262d6df4a8f665b8,3,1,3,0,0,7
f718c18557f553d1f89ca9bedbda0236e413b767,3,1,2,0,4,6
fb3b8f73393787ff896ff9aac21903280c989742,3,1,3,0,1,7
8388a6b2a13edf94c16b7cc931aba71223de0dcf,3,1,3,0,0,7
586f6726f95775c85824fcb5049c9dbe79958e53,3,1,2,1,0,6
26f946a43d812e20624628fab0ebcb023cb0f2ce,3,1,2,1,0,6
59a35cdb660028f2bcd0e53bf89b3c8d5942285c,3,1,1,0,3,5
cb5a49679732abf852dec6e61e435602706289c3,3,1,5,0,0,9
a555fbeeffc44dfdb5087c83395f0f743654cbba,2,1,2,2,0,5
9c32d461dc9d4737756a990cf13bae1a03e078a9,2,1,2,0,0,5
5535ed240ab00c780ce2aa42f1fbe13ef24b9120,2,1,2,0,0,5
183e393843de9d6c653897f1039ad10af9750347,2,1,1,1,0,4
34e4b49c46c5462089f516983eeb19a6aff69d01,2,1,2,0,0,5
ee3d6fcf2ed5408aef9c152f2e7145d916a1baee,2,1,1,0,1,4
f7ff81d2d3ae773aa28836cc485617983d7499ef,2,1,4,0,0,7
575faff450d20d0f359d000ebc8b66b638094613,2,1,5,0,1,8
6abb30ae61aa5e41f16a28b9437940d5d76d745b,2,1,5,1,0,8
f057fa2845067210cbd31e79d8a83cdff0aa96f1,2,1,7,0,0,10
8607aac9046864becdec9a89df48524d61192e09,2,1,4,0,0,7
c0120b34fddaa312eed6bdbb706c233bd0d0794f,2,1,1,1,1,4
620df0595486589bbc677f72cc78f2d158b9810c,2,1,2,0,0,5
4ff3cd099988eec4079249528fb8db645b3c9490,2,1,1,0,0,4
055bc4fbdbbe262da7684e89ea4cfcc154a42291,2,1,2,0,0,5
3dc77148a29d1caf25a7a345f04d61d160385734,2,1,9,0,0,12
f261de4ce70f551ec9bdc573256bef4a61f43174,2,1,2,0,0,5
b460e5b511b4e2c3233f9476cd4e0616d6f405ac,2,1,5,0,0,8
5c4e986c0995292d3e3839bb20c20b95039ae9d4,2,1,3,0,0,6
63008713691bdb1d8eed016dbc54332f11d43739,2,1,1,0,1,4
23d0641f1f78528bbf3fa7b0b749abc1299a9cb4,2,1,1,2,0,4
1c995ac4ae70bbcc5da53211e20df4398d1ce55d,2,1,4,0,1,7
3aed588044335032787a5eb91ee61afadcd4a006,2,1,1,0,1,4
e620067ec156a1fc9e5b28aaf66b38dd08815df8,2,1,6,2,0,9
5e8669392733113d4bbaeebd9347764807872fa2,2,1,5,0,1,8
eb4e468f68974db552de7a9f4e41d95607b0c461,2,1,3,0,0,6
bb7718e2a9a390578e8d3f5ea081f08d3fd17185,2,1,1,0,0,4
e0a44f822e93cacdd3a42102e77f6adfc0519c1a,2,1,1,0,1,4
8b369168263656b024f65707b9bb501d1b75a56e,2,1,5,0,0,8
6bf7eb57bcb46ac71e49305ef93f2acafc869e9b,2,1,1,0,1,4
25bdd8095f71bd8c6be54898b437e16896ea3790,2,1,2,0,0,5
ecb3c8e94fb9e56b8ca7f05687f791f3db024a94,2,1,1,0,1,4
27ee82e4db05cf49d789f25d14660daffe743cfd,2,1,3,0,1,6
39855ca915f908855de8577baf009e5b1acf5f5c,2,1,1,0,0,4
bd92cbae7179f07d59d1ce4d7ca96e37ebb40ec9,2,1,1,0,1,4
3cff423d90d10aed4310a7d726a6a873d37b2693,2,1,4,0,1,7
f0766282327201e2f62b12f14326960106083d73,2,1,7,0,0,10
d18a705998ad871dad46aeabeeed0a20909c10df,2,1,1,0,0,4
22d812dbf1b71eb834f1244bdd26db698fed6a34,2,1,5,0,1,8
d665907080d2eae92859eab542dce90a57f11efb,2,1,1,0,0,4
1c7d1097a0fc23516fc084e127333ec4bbf9ca94,2,1,1,0,0,4
a6b2ed77eb280c2906cbe64039b9e3dbcd0c2b04,2,1,1,0,0,4
4a1473dff62b4a5607cc52a3724756438f0c8af3,2,1,3,0,2,6
9d79c2ef6ed8ac3394a05684c486b1f4318c512c,2,1,2,0,0,5
be477ac1161b4b6eeaccb183ed41573d1d09efac,2,1,4,0,0,7
e1cb64fa097f94efbeadfdc5e98ed7d9d0e58f87,2,1,8,0,0,11
e1a0bc6deaa4e0302617cc36f048ed76db994073,2,1,2,0,0,5
