SHA,immune,immunity,response,coronavirus,sum
cfb06153bd9db651c6c7c268aecf6e65113fe008,1,0,1,1,3
b2ca7959b768af6c0ac1f5e347a31dacf9fcfd2f,1,1,1,1,3
72ace5af731fdf4c384e912b074193d13902b7a1,1,0,1,1,3
ab8c1e32b66b02cd703799df3d2ee37a1cb369b7,1,2,2,1,4
3078165241b24fed34596efa9f563661f1caa00c,1,0,1,1,3
3819c9d30c75527e915470a797c69fa83934fa06,1,0,4,1,6
f442fd7cf9f7ab6a2939acae3d1eea548dafac20,1,0,1,1,3
6b0f17a81d8f9849d4937aafbdbf74ec71820811,1,0,2,1,4
eb4451db661165d4d518ea8b812b9d0963e84736,1,0,1,1,3
ec2ecade86e6e7660bd8fc929ab0c602cdf16568,1,0,2,1,4
02766b20eeb39ff051a2f110def2e4bf8b9b010b,1,0,2,1,4
a765ae8d7eae55875cb832428c9082a6e4e4ae82,1,0,1,1,3
4d1f8955a62f01fe7a4d7d19593bdbd6047f4f41,1,0,3,1,5
9dd88265053594d2736a884a8b972b6ae94218c5,1,1,2,1,4
3c9db7ee30074667f9fe308de9910b013aa1f163,1,0,1,1,3
27ee82e4db05cf49d789f25d14660daffe743cfd,1,0,1,1,3
0ced1f946cce007aa319a0ba38aef2c4b14dab0e,1,0,1,1,3
45d2d838cb3d5ae2dabd7bb7c82329b398d1c65f,1,0,2,1,4
3bd02864e1ab4b40712401ac5a0c8580dc98c0c9,1,0,1,1,3
807010e4de2aee42d4eb9849b818aafb3dbeee20,1,0,1,1,3
301d67478a0dbcf72bef62d36b4f2377bca59570,1,0,2,1,4
2141f65d307159d96e111b2f68dff9fe7499054e,1,0,12,1,14
8cc3ab35fde19a1e8e4ccff32b49ff7b9a9b42ea,1,1,5,1,7
d4b1738f5d5f9156ef5b11673d8d454fe9fa4a22,1,0,1,1,3
9e0f1a931626ce9554b73e38693d47de81893dbb,1,0,1,1,3
d5c58e37f87faa365ba6fa5df8ea058a35f4f985,1,0,1,1,3
5f912d69649087a3a077bc98c07cb05138e4e3a7,1,2,1,1,3
99da3adecbf75588f2b231f28a660d32a8ed5829,1,0,1,1,3
43ac831b9f0a365a772c810673eae7dfdff6b7ba,1,1,1,1,3
296b6913fdf7142617fbdba53abdd27a999e75b3,1,0,1,1,3
0fe4c61765775f05ecce8cc192fb3cfff30c8dff,1,0,1,1,3
6b72cf69eb0577766ee2a34c2e2417fa9d857dcb,1,1,2,1,4
b0d6f76af8ad26a7f3a1efe0a089cf4de5d2ef57,1,0,1,1,3
79a82ee9007a1ecba6be491e8c675f3d00becba4,1,0,2,1,4
b65e0d8d4fe0bd539a64eeb883a7b76841570080,1,0,3,1,5
99b26ec52b0fa51de665f2897a4273ffe6eccabd,1,0,5,1,7
ea5534297452fc523674a7fee46b42c7f61f31ec,1,1,1,1,3
6d50bf341565861b08e412d7d8a13619c119334c,1,1,1,1,3
10f0e5ba15bc80507c2f42178104e211adcc2d83,1,0,2,1,4
34f9f958f686a44e5ace7a5ec825a69298e63764,1,0,4,1,6
f3e6434f5049b3a509e05f5d7119b835ed060b1b,1,0,1,1,3
20d91da4be960dad3519d5438db7295d97b80bcc,1,0,2,1,4
6416d311b8e5e360921299299fc25f039aac823a,1,0,2,1,4
f3c5dbfd682af9f81d55a8feda2e808a0b4f22a0,1,0,1,1,3
3ff20c92bf922c29658e1bd1823ac067e810235f,1,0,3,1,5
45de9e3fa82e45cc8c88661dbffd27a70a2b41a6,1,0,1,1,3
fcbc3f7f4fd4a27c9010c4bea83c41a224d4530f,1,0,1,1,3
d0c8e2e83670f588fa1673bb2234b520aa4f8242,1,2,1,1,3
2adbfa1b4f6dacb2a5b2f6d02632c30929dd613d,1,0,2,1,4
866943e037d3b683d0405a9d65d94568074ed592,1,0,1,1,3
6eddf8d6260053b650b2734970140c9efe710ab9,1,0,3,1,5
ac30a85f52cf03b717bc74e0f58099d4644fd329,1,0,1,1,3
8f61eb2da6f8e947a03bdf5afa69c49d9e892fb8,1,0,1,1,3
15ebc5b2e06803c4c06775cd751eff6ae2632e9a,1,0,1,1,3
d081f552145f323c7a81808f5f61bca4ce2b9cff,1,0,1,1,3
0a65ff59f56fb97f85ede40797f7a06e17463ba0,1,1,3,1,5
0ea86045c0a8a03ce313440eb1e887f26a85cae3,1,1,1,1,3
18c87ac63c04723a939961675d43ff749f929e87,1,0,3,1,5
3297bf7e494a27216865e313cbe95195f9d8ff14,1,0,1,1,3
f48986254b981e602475cd421c586b5bce8dda4c,1,0,1,1,3
29b8b61dbbf9efe19a1db645e4fb6095a0ce4b11,1,0,3,1,5
89d144081894a40f61f156c794e0ec60b3d2e876,1,0,1,1,3
eed5a0cc4fc05708047a6bd4627aac5cf5fdc59f,1,1,3,1,5
3301a21965d77cb118b0540783328ca1a4ed6cc5,1,0,1,1,3
8acea38b005879ea8287ffcb8eb6052067e36e54,1,0,1,1,3
c3e25d0cb02656c82dfac2860225f14588489066,1,0,1,1,3
a10f6c3dce3d0abbf575b64df42348446c105b57,1,0,1,1,3
